,IPIP100,BFAS,HEXACO,QB6,MPQ,IPIPneo,EPQr,PS
1,q_55,q_44,q_6,q_55,q_1058,q_594,q_4222,q_254
2,q_76,q_52,q_22,q_66,q_610,q_286,q_4226,q_698
3,q_108,q_66,q_23,q_79,q_612,q_343,q_4230,q_1114
4,q_124,q_105,q_39,q_145,q_1389,q_377,q_4234,q_1205
5,q_128,q_107,q_40,q_185,q_1648,q_379,q_4237,q_492
6,q_132,q_126,q_53,q_238,q_1682,q_381,q_4240,q_131
7,q_140,q_140,q_80,q_278,q_780,q_1758,q_4243,q_1055
8,q_146,q_146,q_94,q_331,q_1310,q_1835,q_4247,q_1110
9,q_150,q_169,q_98,q_348,q_1381,q_1854,q_4250,q_148
10,q_177,q_170,q_101,q_519,q_1587,q_1855,q_4253,q_438
11,q_194,q_176,q_124,q_549,q_530,q_1556,q_4257,q_740
12,q_195,q_184,q_128,q_811,q_602,q_1765,q_4259,q_803
13,q_200,q_195,q_131,q_952,q_637,q_501,q_4262,q_1045
14,q_217,q_225,q_134,q_958,q_1979,q_1543,q_4265,q_1081
15,q_240,q_240,q_139,q_1033,q_191,q_1752,q_4267,q_1998
16,q_241,q_260,q_140,q_1050,q_604,q_1894,q_4270,q_2745
17,q_248,q_316,q_141,q_1088,q_786,q_1896,q_4271,q_2754
18,q_254,q_319,q_142,q_1243,q_1052,q_2016,q_4274,q_2951
19,q_262,q_322,q_145,q_1254,q_1519,q_1214,q_4276,q_3023
20,q_316,q_332,q_151,q_1290,q_1984,q_1467,q_4278,q_3090
21,q_403,q_348,q_152,q_1306,q_1585,q_146,q_4283,q_1020
22,q_422,q_364,q_154,q_1321,q_1683,q_1041,q_4292,q_1867
23,q_492,q_413,q_156,q_1505,q_1051,q_1385,q_4295,q_26
24,q_493,q_422,q_157,q_1511,q_1150,q_1774,q_4224,q_201
25,q_497,q_455,q_158,q_1591,q_1571,q_90,q_4228,q_824
26,q_530,q_460,q_159,q_1596,q_1869,q_298,q_4232,q_875
27,q_609,q_491,q_169,q_1610,q_501,q_1354,q_4235,q_878
28,q_619,q_497,q_179,q_1635,q_2021,q_1420,q_4239,q_880
29,q_626,q_582,q_225,q_1676,q_630,q_1421,q_4242,q_882
30,q_690,q_612,q_239,q_1685,q_957,q_1881,q_4246,q_919
31,q_698,q_668,q_251,q_1696,q_882,q_1163,q_4249,q_920
32,q_712,q_706,q_253,q_1703,q_594,q_1031,q_4252,q_978
33,q_815,q_776,q_262,q_1747,q_20,q_1051,q_4256,q_1022
34,q_819,q_820,q_278,q_1752,q_286,q_1150,q_4258,q_1038
35,q_838,q_844,q_279,q_1780,q_578,q_1359,q_4263,q_1477
36,q_844,q_890,q_292,q_1803,q_816,q_121,q_4269,q_1697
37,q_890,q_904,q_316,q_1896,q_848,q_479,q_4273,q_1798
38,q_901,q_930,q_321,q_1899,q_1758,q_531,q_4277,q_1840
39,q_904,q_931,q_331,q_1949,q_1854,q_957,q_4280,q_2821
40,q_931,q_946,q_334,q_2021,q_1855,q_2036,q_4282,q_3691
41,q_952,q_952,q_348,q_2737,q_124,q_364,q_4285,
42,q_960,q_964,q_364,q_2756,q_1397,q_401,q_4287,
43,q_962,q_965,q_401,q_2765,q_1422,q_525,q_4288,
44,q_974,q_988,q_403,q_2775,q_1507,q_565,q_4290,
45,q_979,q_995,q_463,q_2786,q_1173,q_586,q_4294,
46,q_986,q_1031,q_477,q_2853,q_1321,q_1042,q_4298,
47,q_995,q_1043,q_492,q_2891,q_1424,q_1235,q_4300,
48,q_1020,q_1050,q_500,q_2900,q_623,q_1416,q_4223,
49,q_1041,q_1055,q_501,,q_1292,q_1691,q_4225,
50,q_1050,q_1088,q_516,,q_1488,q_1830,q_4227,
51,q_1053,q_1151,q_520,,q_294,q_195,q_4229,
52,q_1058,q_1162,q_525,,q_315,q_339,q_4231,
